run,condition,job,rw,bw_MiBps,iops,lat_p50_us,lat_p99_us,usr_cpu_pct,sys_cpu_pct,source
20260627-1641,B0,rand-read-4k,read,67.688,17328.4,52.992,97.792,4.99,35.84,bench/results/20260627-1641/B0/rand-read.json
20260627-1641,B0,rand-read-64k,read,1175.66,18810.56,46.336,110.08,3.79,19.89,bench/results/20260627-1641/B0/rand-read.json
20260627-1641,B0,rand-write-4k,write,14.356,3675.45,91.648,201.728,2.33,8.43,bench/results/20260627-1641/B0/rand-write.json
20260627-1641,B0,rand-write-64k,write,72.645,1162.32,130.56,7897.088,1.53,2.04,bench/results/20260627-1641/B0/rand-write.json
20260627-1641,B0,seq-write,write,321.003,321.0,823.296,1269.76,4.8,2.38,bench/results/20260627-1641/B0/seq-write.json
20260627-1641,BS,rand-read-4k,read,1.403,359.28,2605.056,5210.112,0.33,1.08,bench/results/20260627-1641/BS/rand-read.json
20260627-1641,BS,rand-read-64k,read,12.179,194.86,5079.04,5865.472,0.21,0.34,bench/results/20260627-1641/BS/rand-read.json
20260627-1641,BS,rand-write-4k,write,1.847,472.79,1548.288,4292.608,0.48,1.35,bench/results/20260627-1641/BS/rand-write.json
20260627-1641,BS,rand-write-64k,write,24.027,384.45,1613.824,16056.32,0.6,0.58,bench/results/20260627-1641/BS/rand-write.json
20260627-1641,BS,seq-write,write,118.148,118.15,3653.632,6389.76,1.94,1.19,bench/results/20260627-1641/BS/seq-write.json
20260627-1641,BV,rand-read-4k,read,43.149,11046.48,86.528,168.96,4.03,22.23,bench/results/20260627-1641/BV/rand-read.json
20260627-1641,BV,rand-read-64k,read,492.544,7880.71,118.272,240.64,2.84,5.87,bench/results/20260627-1641/BV/rand-read.json
20260627-1641,BV,rand-write-4k,write,6.471,1656.52,284.672,593.92,1.11,3.94,bench/results/20260627-1641/BV/rand-write.json
20260627-1641,BV,rand-write-64k,write,47.141,754.26,346.112,823.296,1.23,0.66,bench/results/20260627-1641/BV/rand-write.json
20260627-1641,BV,seq-write,write,115.536,115.54,3948.544,6717.44,2.41,0.74,bench/results/20260627-1641/BV/seq-write.json
20260627-1641,C0,rand-read-4k,read,13.019,3332.79,197.632,423.936,1.71,6.76,bench/results/20260627-1641/C0/rand-read.json
20260627-1641,C0,rand-read-64k,read,157.007,2512.11,391.168,544.768,1.23,13.74,bench/results/20260627-1641/C0/rand-read.json
20260627-1641,C0,rand-write-4k,write,26.699,6835.03,4.704,58.112,1.29,13.93,bench/results/20260627-1641/C0/rand-write.json
20260627-1641,C0,rand-write-64k,write,116.033,1856.54,47.872,113.152,2.07,12.45,bench/results/20260627-1641/C0/rand-write.json
20260627-1641,C0,seq-write,write,202.571,202.57,505.856,839.68,2.93,10.45,bench/results/20260627-1641/C0/seq-write.json
