run,condition,job,rw,bw_MiBps,iops,lat_p50_us,lat_p99_us,usr_cpu_pct,sys_cpu_pct,source
r1,A,rand-read-4k,read,53.562,13711.89,70.144,115.2,3.38,45.43,/home/xp/src/zipfs/bench/results/20260628-1212/r1/A/rand-read.json
r1,A,rand-read-64k,read,516.129,8258.06,116.224,191.488,4.74,51.74,/home/xp/src/zipfs/bench/results/20260628-1212/r1/A/rand-read.json
r1,A,rand-write-4k,write,11.331,2900.82,5.024,40.192,0.44,19.26,/home/xp/src/zipfs/bench/results/20260628-1212/r1/A/rand-write.json
r1,A,rand-write-64k,write,82.674,1322.78,45.312,103.936,1.61,16.28,/home/xp/src/zipfs/bench/results/20260628-1212/r1/A/rand-write.json
r1,A,seq-write,write,239.476,239.48,806.912,3653.632,3.44,39.3,/home/xp/src/zipfs/bench/results/20260628-1212/r1/A/seq-write.json
r1,B0,rand-read-4k,read,71.062,18191.81,53.504,80.384,2.82,39.48,/home/xp/src/zipfs/bench/results/20260628-1212/r1/B0/rand-read.json
r1,B0,rand-read-64k,read,1309.463,20951.41,44.288,98.816,0.26,20.1,/home/xp/src/zipfs/bench/results/20260628-1212/r1/B0/rand-read.json
r1,B0,rand-write-4k,write,20.229,5178.56,62.208,140.288,2.66,10.95,/home/xp/src/zipfs/bench/results/20260628-1212/r1/B0/rand-write.json
r1,B0,rand-write-64k,write,120.371,1925.94,83.456,6193.152,2.52,2.86,/home/xp/src/zipfs/bench/results/20260628-1212/r1/B0/rand-write.json
r1,B0,seq-write,write,342.475,342.47,733.184,1105.92,5.45,1.91,/home/xp/src/zipfs/bench/results/20260628-1212/r1/B0/seq-write.json
r1,BS,rand-read-4k,read,52.941,13553.1,74.24,105.984,2.55,29.71,/home/xp/src/zipfs/bench/results/20260628-1212/r1/BS/rand-read.json
r1,BS,rand-read-64k,read,981.783,15708.53,60.16,117.248,1.25,14.97,/home/xp/src/zipfs/bench/results/20260628-1212/r1/BS/rand-read.json
r1,BS,rand-write-4k,write,5.632,1441.9,261.12,2899.968,0.83,3.48,/home/xp/src/zipfs/bench/results/20260628-1212/r1/BS/rand-write.json
r1,BS,rand-write-64k,write,57.813,925.02,309.248,5668.864,1.47,0.6,/home/xp/src/zipfs/bench/results/20260628-1212/r1/BS/rand-write.json
r1,BS,seq-write,write,180.727,180.73,3588.096,5472.256,3.12,1.15,/home/xp/src/zipfs/bench/results/20260628-1212/r1/BS/seq-write.json
r1,BV,rand-read-4k,read,42.677,10925.4,86.528,136.192,1.93,24.86,/home/xp/src/zipfs/bench/results/20260628-1212/r1/BV/rand-read.json
r1,BV,rand-read-64k,read,554.412,8870.6,112.128,173.056,2.71,7.1,/home/xp/src/zipfs/bench/results/20260628-1212/r1/BV/rand-read.json
r1,BV,rand-write-4k,write,7.631,1953.72,280.576,477.184,1.13,4.63,/home/xp/src/zipfs/bench/results/20260628-1212/r1/BV/rand-write.json
r1,BV,rand-write-64k,write,67.438,1079.03,329.728,593.92,1.85,0.62,/home/xp/src/zipfs/bench/results/20260628-1212/r1/BV/rand-write.json
r1,BV,seq-write,write,141.69,141.69,3325.952,4292.608,1.85,1.23,/home/xp/src/zipfs/bench/results/20260628-1212/r1/BV/seq-write.json
r1,C0,rand-read-4k,read,19.618,5022.3,189.44,333.824,2.9,9.84,/home/xp/src/zipfs/bench/results/20260628-1212/r1/C0/rand-read.json
r1,C0,rand-read-64k,read,161.361,2581.78,378.88,518.144,1.7,13.05,/home/xp/src/zipfs/bench/results/20260628-1212/r1/C0/rand-read.json
r1,C0,rand-write-4k,write,28.157,7208.29,3.824,24.192,1.29,11.92,/home/xp/src/zipfs/bench/results/20260628-1212/r1/C0/rand-write.json
r1,C0,rand-write-64k,write,97.356,1557.71,15.168,226.304,1.93,9.28,/home/xp/src/zipfs/bench/results/20260628-1212/r1/C0/rand-write.json
r1,C0,seq-write,write,363.249,363.25,477.184,2572.288,5.15,25.98,/home/xp/src/zipfs/bench/results/20260628-1212/r1/C0/seq-write.json
