algo	level	block	csize	ratio
lz4	-1	65536	21644944	4.66
lz4	-9	65536	18688978	5.40
gzip	-9	65536	16845602	5.99
zstd	-3	65536	16394122	6.16
zstd	-12	65536	15174356	6.65
zstd	-19	65536	14517916	6.96
brotli	-q11	65536	12752677	7.92
xz	-9e	65536	14070740	7.18
bzip2	-9	65536	17543845	5.76
lz4	-1	1048576	14668700	6.88
lz4	-9	1048576	8796254	11.48
gzip	-9	1048576	11342217	8.90
zstd	-3	1048576	6121164	16.50
zstd	-12	1048576	5559955	18.17
zstd	-19	1048576	5218543	19.36
brotli	-q11	1048576	4629077	21.83
xz	-9e	1048576	4979620	20.29
bzip2	-9	1048576	7543902	13.39
