algo	level	blockKiB	csize	ratio
lz4	-9	256	10352437	9.76
zstd	-3	256	8415065	12.00
zstd	-19	256	7300940	13.84
brotli	-q11	256	6419072	15.74
xz	-9e	256	7024992	14.38
lz4	-9	512	9247314	10.92
zstd	-3	512	6976424	14.48
zstd	-19	512	6011073	16.81
brotli	-q11	512	5300668	19.06
xz	-9e	512	5754300	17.56
lz4	-9	1024	8612344	11.73
zstd	-3	1024	6036525	16.74
zstd	-19	1024	5149264	19.62
brotli	-q11	1024	4560454	22.15
xz	-9e	1024	4909572	20.58
lz4	-9	2048	8368858	12.07
zstd	-3	2048	5434105	18.59
zstd	-19	2048	4585439	22.03
brotli	-q11	2048	4076396	24.79
xz	-9e	2048	4361876	23.16
lz4	-9	4096	8284049	12.19
zstd	-3	4096	5089422	19.85
zstd	-19	4096	4124314	24.50
xz	-9e	4096	3914524	25.81
brotli	-q11	4096	3680585	27.45
