algo	level	csize	ratio	c_MBps	d_MBps
gzip	-6	11069348	9.12	89	339
gzip	-9	10959301	9.22	68	341
lz4	-1	14231932	7.10	1236	2081
lz4	-9	8241152	12.26	919	2259
lz4	-12	8215587	12.30	411	2087
zstd	-3	4739791	21.32	730	2043
zstd	-12	3774828	26.77	109	2165
zstd	-19	3381198	29.88	8	1900
zstd	-19L27	2843438	35.54	8	994
zstd	-22L27	2800402	36.08	4	995
brotli	-5	3456902	29.23	146	1552
brotli	-9	3177303	31.80	16	1447
xz	-6	3289504	30.72	9	767
xz	-9	2790352	36.21	7	649
xz	-9e	2680204	37.70	4	678
bzip2	-9	6755544	14.95	12	51
brotli	-q10	2949042	34.26	4	1571
brotli	-q11	2879044	35.10	1	1531
brotli	q11w24	2879044	35.10	1	1273
